hhid,adm1,adm2,res,pc_expenditure,sep_quintile,res_quintile,year,month,survey_wgt,afe,ea
2_5,Dakar,Dakar,Urban,2288873.75,1,1,2022,5,386.207311277568,2.992775905718027,2
2_15,Dakar,Dakar,Urban,1806940.125,1,1,2022,6,386.207311277568,2.133195285901353,2
2_3,Dakar,Dakar,Urban,3398240.75,3,2,2022,6,386.207311277568,3.6882814491488434,2
2_13,Dakar,Dakar,Urban,4846636.5,4,3,2022,6,386.207311277568,5.577390484504583,2
2_8,Dakar,Dakar,Urban,2546811.25,2,1,2022,7,290.067804639795,1.2435848101265823,2
2_16,Dakar,Dakar,Urban,5647738.5,4,4,2022,7,386.207311277568,4.615410563072894,2
2_7,Dakar,Dakar,Urban,6466616.5,5,4,2022,6,290.067804639795,0.9929518987341772,2
2_4,Dakar,Dakar,Urban,14370374,5,5,2022,7,290.067804639795,3.4870816237450897,2
2_1,Dakar,Dakar,Urban,6197145,4,4,2022,5,290.067804639795,8.455669663902226,2
2_12,Dakar,Dakar,Urban,3741090.25,3,2,2022,5,290.067804639795,6.012116281099956,2
2_14,Dakar,Dakar,Urban,2831864.75,2,2,2022,7,386.207311277568,3.371412309035356,2
2_6,Dakar,Dakar,Urban,8573694,5,5,2022,5,290.067804639795,2.3736785683107815,2
3_7,Dakar,Dakar,Urban,2700223.25,2,1,2021,11,480.070134453419,1.0362681798341336,3
3_13,Dakar,Dakar,Urban,2480573.5,2,1,2021,11,429.925525048257,2.0841784373635965,3
3_9,Dakar,Dakar,Urban,4481700.5,3,3,2021,11,480.070134453419,4.757270013094718,3
3_5,Dakar,Dakar,Urban,7306441.5,5,4,2021,11,429.925525048257,3.8332193801833263,3
3_2,Dakar,Dakar,Urban,16733810,5,5,2021,11,480.070134453419,2.454846268005238,3
3_16,Dakar,Dakar,Urban,2458812,2,1,2021,12,429.925525048257,1.2836284591881275,3
3_17,Dakar,Dakar,Urban,16267032,5,5,2021,12,429.925525048257,8.47272143168922,3
3_14,Dakar,Dakar,Urban,4653310.5,4,3,2021,11,429.925525048257,3.0840904408555216,3
3_6,Dakar,Dakar,Urban,3849942.5,3,2,2021,11,480.070134453419,3.559096639022261,3
3_4,Dakar,Dakar,Urban,10606219,5,5,2021,11,429.925525048257,8.072130597992144,3
3_3,Dakar,Dakar,Urban,1533025.875,1,1,2021,12,480.070134453419,1.2435848101265823,3
3_15,Dakar,Dakar,Urban,1275945.125,1,1,2021,11,429.925525048257,1.0362681798341336,3
4_3,Dakar,Dakar,Urban,8383229.5,5,5,2022,8,235.235960805284,9.097617459624619,4
4_8,Dakar,Dakar,Urban,2580936.5,2,1,2022,5,235.235960805284,1.2435848101265823,4
4_12,Dakar,Dakar,Urban,6226756.5,4,4,2022,5,235.235960805284,7.485874465298997,4
4_4,Dakar,Dakar,Urban,2246948.75,1,1,2022,8,235.235960805284,4.847109908336971,4
4_2,Dakar,Dakar,Urban,4122501.5,3,3,2022,5,235.235960805284,3.345635617634221,4
4_11,Dakar,Dakar,Urban,8518276,5,5,2022,6,361.52214447730603,13.070276036665213,4
4_9,Dakar,Dakar,Urban,1868929.5,1,1,2022,5,235.235960805284,2.9785470100392843,4
4_1,Dakar,Dakar,Urban,1192986.375,1,1,2022,5,235.235960805284,1.0362681798341336,4
4_7,Dakar,Dakar,Urban,2422514.5,2,1,2022,5,361.52214447730603,1.931406721955478,4
4_5,Dakar,Dakar,Urban,1920891.75,1,1,2022,8,235.235960805284,1.2435848101265823,4
4_13,Dakar,Dakar,Urban,1858686.25,1,1,2022,7,361.52214447730603,1.2435848101265823,4
5_9,Dakar,Dakar,Urban,5790986.5,4,4,2021,12,380.292260704683,3.1261471846355304,5
5_6,Dakar,Dakar,Urban,4550518.5,4,3,2021,11,380.292260704683,9.203139589698822,5
5_14,Dakar,Dakar,Urban,4482599.5,3,3,2021,12,537.814472754088,4.910041728502837,5
5_11,Dakar,Dakar,Urban,6611403,5,4,2021,12,380.292260704683,3.133107289393278,5
5_12,Dakar,Dakar,Urban,7323386,5,4,2022,1,537.814472754088,3.523437800087298,5
5_7,Dakar,Dakar,Urban,11997211,5,5,2021,12,380.292260704683,9.365776342208642,5
5_5,Dakar,Dakar,Urban,21194188,5,5,2021,12,380.292260704683,9.671190571802706,5
5_4,Dakar,Dakar,Urban,7656090,5,5,2021,12,380.292260704683,5.15181213443911,5
5_13,Dakar,Dakar,Urban,3488858.25,3,2,2021,12,537.814472754088,1.0362681798341336,5
5_2,Dakar,Dakar,Urban,16024349,5,5,2022,1,380.292260704683,12.32697372326495,5
5_10,Dakar,Dakar,Urban,22014168,5,5,2021,12,380.292260704683,9.776485726756874,5
5_15,Dakar,Dakar,Urban,20842148,5,5,2021,12,537.814472754088,8.268717590571804,5
6_13,Dakar,Dakar,Urban,6417186,5,4,2022,8,787.866956093108,7.760622959406373,6
6_6,Dakar,Dakar,Urban,11601324,5,5,2022,6,787.866956093108,3.560208817110432,6
6_5,Dakar,Dakar,Urban,9690445,5,5,2022,5,285.789382446009,13.010647926669577,6
6_2,Dakar,Dakar,Urban,2580937.75,2,1,2022,5,285.789382446009,2.9458102138804017,6
6_7,Dakar,Dakar,Urban,3470972.5,3,2,2022,5,285.789382446009,3.889346486250546,6
6_11,Dakar,Dakar,Urban,4007696.5,3,3,2022,5,285.789382446009,2.531581318201659,6
6_4,Dakar,Dakar,Urban,3387711.25,3,2,2022,5,285.789382446009,5.865061545176779,6
6_14,Dakar,Dakar,Urban,3829328,3,2,2022,8,787.866956093108,3.5634814491488433,6
6_8,Dakar,Dakar,Urban,2155634.75,1,1,2022,5,285.789382446009,2.319896639022261,6
6_3,Dakar,Dakar,Urban,1098876.5,1,1,2022,5,285.789382446009,1.2435848101265823,6
6_12,Dakar,Dakar,Urban,2387024.75,2,1,2022,6,285.789382446009,1.0362681798341336,6
6_10,Dakar,Dakar,Urban,3266962.5,2,2,2022,5,285.789382446009,5.662988040157137,6
7_1,Dakar,Dakar,Urban,8024441,5,5,2021,12,655.161779542118,2.9519643823657793,7
7_14,Dakar,Dakar,Urban,3460112,3,2,2022,1,577.610751720741,3.117351025752946,7
7_16,Dakar,Dakar,Urban,2190132.5,1,1,2022,1,577.610751720741,1.2435848101265823,7
7_17,Dakar,Dakar,Urban,11306472,5,5,2022,1,577.610751720741,2.8755142732431254,7
7_13,Dakar,Dakar,Urban,16521482,5,5,2021,12,577.610751720741,8.006758969882148,7
7_3,Dakar,Dakar,Urban,12211251,5,5,2022,1,655.161779542118,4.0100570929725015,7
7_15,Dakar,Dakar,Urban,16607999,5,5,2022,1,577.610751720741,4.276733304233959,7
7_2,Dakar,Dakar,Urban,13423659,5,5,2022,1,655.161779542118,4.209419118288957,7
8_14,Dakar,Dakar,Urban,2674753.75,2,1,2022,7,316.679995678361,1.2836284591881275,8
8_7,Dakar,Dakar,Urban,4978433.5,4,3,2022,4,218.893871938547,1.2836284591881275,8
8_9,Dakar,Dakar,Urban,6499744.5,5,4,2022,5,218.893871938547,7.7937567874290705,8
8_3,Dakar,Dakar,Urban,8182646.5,5,5,2022,5,218.893871938547,4.669558446093409,8
8_5,Dakar,Dakar,Urban,7805952.5,5,5,2022,6,218.893871938547,4.593586032300306,8
8_13,Dakar,Dakar,Urban,7053275.5,5,4,2022,6,316.679995678361,4.033060497599302,8
8_10,Dakar,Dakar,Urban,1970047.25,1,1,2022,5,218.893871938547,1.2435848101265823,8
8_12,Dakar,Dakar,Urban,6699725,5,4,2022,4,218.893871938547,8.019376342208643,8
8_15,Dakar,Dakar,Urban,5031036.5,4,3,2022,5,316.679995678361,4.141833958969882,8
8_2,Dakar,Dakar,Urban,1516660.125,1,1,2022,4,218.893871938547,1.2435848101265823,8
8_8,Dakar,Dakar,Urban,9271539,5,5,2022,4,218.893871938547,11.824960628546487,8
8_16,Dakar,Dakar,Urban,2909456.75,2,2,2022,5,316.679995678361,4.660408555216063,8
9_10,Dakar,Dakar,Urban,13782548,5,5,2021,11,430.026704820158,11.927024356176343,9
9_2,Dakar,Dakar,Urban,3301644.75,2,2,2021,11,492.307954964071,1.2836284591881275,9
9_14,Dakar,Dakar,Urban,2437646.25,2,1,2021,11,492.307954964071,0.9929518987341772,9
9_13,Dakar,Dakar,Urban,5512973.5,4,4,2021,11,492.307954964071,6.432150152771715,9
9_5,Dakar,Dakar,Urban,5550742.5,4,4,2021,11,430.026704820158,6.094696813618508,9
9_12,Dakar,Dakar,Urban,1210530.625,1,1,2021,11,430.026704820158,0.9929518987341772,9
9_9,Dakar,Dakar,Urban,29248050,5,5,2021,11,492.307954964071,12.51837311217809,9
9_8,Dakar,Dakar,Urban,10252326,5,5,2021,11,430.026704820158,3.5477733740724577,9
9_7,Dakar,Dakar,Urban,2047794.75,1,1,2021,11,430.026704820158,1.992863902226102,9
9_6,Dakar,Dakar,Urban,2691707.25,2,1,2021,11,430.026704820158,1.2435848101265823,9
9_15,Dakar,Dakar,Urban,3698261.25,3,2,2021,11,492.307954964071,2.782149978175469,9
9_11,Dakar,Dakar,Urban,3516738.5,3,2,2021,11,430.026704820158,6.564703622872108,9
10_8,Dakar,Dakar,Urban,1428588.375,1,1,2022,5,272.011531822784,1.2435848101265823,10
10_3,Dakar,Dakar,Urban,6309948,4,4,2022,5,272.011531822784,8.602300829332169,10
10_5,Dakar,Dakar,Urban,14438643,5,5,2022,5,272.011531822784,11.666058140549978,10
10_14,Dakar,Dakar,Urban,1427607.625,1,1,2022,5,453.352553037973,0.999912003491925,10
10_7,Dakar,Dakar,Urban,980915.5625,1,1,2022,5,272.011531822784,0.9929518987341772,10
10_2,Dakar,Dakar,Urban,1241469.875,1,1,2022,4,272.011531822784,1.2435848101265823,10
10_4,Dakar,Dakar,Urban,4943242,4,3,2022,5,272.011531822784,6.863337232649498,10
10_1,Dakar,Dakar,Urban,7617214,5,5,2022,5,272.011531822784,6.767606809253602,10
10_13,Dakar,Dakar,Urban,1590351.875,1,1,2022,5,453.352553037973,1.2435848101265823,10
10_15,Dakar,Dakar,Urban,1169431.375,1,1,2022,5,453.352553037973,0.999912003491925,10
10_12,Dakar,Dakar,Urban,5970261.5,4,4,2022,5,272.011531822784,5.487665822784811,10
10_6,Dakar,Dakar,Urban,1390796.25,1,1,2022,4,272.011531822784,2.782149978175469,10
11_4,Dakar,Dakar,Urban,2845522.75,2,2,2022,1,202.043681217835,3.3767800960279355,11
11_13,Dakar,Dakar,Urban,7063334.5,5,4,2021,12,318.995789546729,6.1522940200785685,11
11_15,Dakar,Dakar,Urban,4975039.5,4,3,2022,1,318.995789546729,2.2081843736359668,11
11_8,Dakar,Dakar,Urban,7247158,5,4,2022,1,202.043681217835,8.064488520296814,11
11_7,Dakar,Dakar,Urban,4773465.5,4,3,2022,1,202.043681217835,6.612355128764731,11
11_6,Dakar,Dakar,Urban,8175755,5,5,2022,1,202.043681217835,7.623176953295505,11
11_14,Dakar,Dakar,Urban,7190749.5,5,4,2022,1,318.995789546729,7.3919039720646005,11
11_5,Dakar,Dakar,Urban,4664129.5,4,3,2022,1,202.043681217835,14.546066521169795,11
11_12,Dakar,Dakar,Urban,5408397.5,4,4,2022,1,202.043681217835,6.953863989524225,11
11_3,Dakar,Dakar,Urban,2770285.5,2,1,2021,12,202.043681217835,1.2435848101265823,11
11_10,Dakar,Dakar,Urban,4726378.5,4,3,2022,1,202.043681217835,4.600892885202969,11
12_3,Dakar,Dakar,Urban,14640110,5,5,2022,8,635.475641165145,13.086806110868617,12
12_5,Dakar,Dakar,Urban,11973859,5,5,2022,5,718.681186698612,15.669756089044085,12
12_9,Dakar,Dakar,Urban,11317015,5,5,2022,6,718.681186698612,5.199477608031427,12
12_6,Dakar,Dakar,Urban,6041761,4,4,2022,6,718.681186698612,2.5621587079877783,12
12_13,Dakar,Dakar,Urban,4124888.25,3,3,2022,5,635.475641165145,9.083830641641205,12
12_15,Dakar,Dakar,Urban,8538276,5,5,2022,6,635.475641165145,9.35421073766914,12
12_7,Dakar,Dakar,Urban,7868185.5,5,5,2022,5,635.475641165145,6.369556001745963,12
12_8,Dakar,Dakar,Urban,4184564.5,3,3,2022,7,635.475641165145,2.2765803579223047,12
12_2,Dakar,Dakar,Urban,7841536,5,5,2022,5,635.475641165145,3.6223944129201224,12
12_1,Dakar,Dakar,Urban,6517995,5,4,2022,5,718.681186698612,4.133019292885203,12
12_14,Dakar,Dakar,Urban,3420212.25,3,2,2022,6,635.475641165145,1.2435848101265823,12
12_11,Dakar,Dakar,Urban,4653845.5,4,3,2022,5,718.681186698612,7.499142034046268,12
13_6,Dakar,Dakar,Urban,2133155.75,1,1,2022,1,564.665108765212,4.713620951549542,13
13_3,Dakar,Dakar,Urban,8585243,5,5,2021,12,564.665108765212,3.447798166739415,13
13_14,Dakar,Dakar,Urban,5622531.5,4,4,2021,12,915.082035924911,4.844568136185072,13
13_10,Dakar,Dakar,Urban,10802171,5,5,2022,1,564.665108765212,4.286137756438237,13
13_12,Dakar,Dakar,Urban,3528885.25,3,2,2021,12,564.665108765212,3.1841578350065474,13
13_15,Dakar,Dakar,Urban,3713162.75,3,2,2022,1,915.082035924911,2.734548756001746,13
13_8,Dakar,Dakar,Urban,9280243,5,5,2021,12,564.665108765212,4.453091924923614,13
13_7,Dakar,Dakar,Urban,3070366.75,2,2,2022,1,564.665108765212,5.0794426887821915,13
13_13,Dakar,Dakar,Urban,14315911,5,5,2022,1,915.082035924911,6.425704757747709,13
13_1,Dakar,Dakar,Urban,8247107.5,5,5,2022,1,564.665108765212,9.57409236141423,13
13_16,Dakar,Dakar,Urban,8402039,5,5,2022,1,915.082035924911,4.041031514622436,13
13_11,Dakar,Dakar,Urban,16910412,5,5,2022,1,564.665108765212,8.437535050196422,13
14_12,Dakar,Dakar,Urban,6877611.5,5,4,2022,9,754.994970680231,8.734261370580533,14
14_1,Dakar,Dakar,Urban,2647046,2,1,2022,6,754.994970680231,0.8896104757747708,14
14_2,Dakar,Dakar,Urban,3858156.25,3,2,2022,9,754.994970680231,8.187533828022698,14
14_11,Dakar,Dakar,Urban,7094671,5,4,2022,8,754.994970680231,12.39703081623745,14
14_7,Dakar,Dakar,Urban,6886518,5,4,2022,6,754.994970680231,8.2435383675250975,14
14_5,Dakar,Dakar,Urban,2386194.75,2,1,2022,7,754.994970680231,1.6367755565255346,14
14_4,Dakar,Dakar,Urban,4908871,4,3,2022,6,754.994970680231,5.629522828459188,14
14_3,Dakar,Dakar,Urban,1651065.5,1,1,2022,6,754.994970680231,4.069797293758184,14
14_8,Dakar,Dakar,Urban,8994763,5,5,2022,6,754.994970680231,13.042630816237452,14
14_10,Dakar,Dakar,Urban,3497144,3,2,2022,6,754.994970680231,5.277056307289393,14
14_6,Dakar,Dakar,Urban,7083328.5,5,4,2022,8,754.994970680231,12.660607245744217,14
14_9,Dakar,Dakar,Urban,3999377.25,3,3,2022,6,754.994970680231,4.960586643387168,14
15_2,Dakar,Dakar,Urban,1727078.75,1,1,2022,1,452.348748955094,1.2435848101265823,15
15_5,Dakar,Dakar,Urban,8229805.5,5,5,2021,12,452.348748955094,3.7711636839807943,15
15_8,Dakar,Dakar,Urban,9119753,5,5,2022,1,452.348748955094,9.02152143168922,15
15_7,Dakar,Dakar,Urban,12909668,5,5,2022,1,452.348748955094,7.431947621126146,15
15_6,Dakar,Dakar,Urban,7994637,5,5,2022,1,452.348748955094,7.05896778699258,15
15_12,Dakar,Dakar,Urban,5309258,4,4,2022,1,452.348748955094,7.682580532518551,15
15_1,Dakar,Dakar,Urban,9679334,5,5,2021,12,452.348748955094,7.980217197730249,15
15_14,Dakar,Dakar,Urban,5644560.5,4,4,2022,1,801.099754230097,3.9675869052815367,15
15_15,Dakar,Dakar,Urban,5188888,4,3,2022,1,801.099754230097,6.33770790048014,15
15_3,Dakar,Dakar,Urban,10409951,5,5,2022,1,452.348748955094,5.233409690091663,15
15_13,Dakar,Dakar,Urban,4984692.5,4,3,2022,1,801.099754230097,4.469598952422523,15
15_9,Dakar,Dakar,Urban,9757464,5,5,2021,12,452.348748955094,13.061835704932344,15
16_12,Dakar,Dakar,Urban,12317131,5,5,2022,6,737.976641423095,5.040988913138367,16
16_2,Dakar,Dakar,Urban,7240656,5,4,2022,6,737.976641423095,5.5429531209079,16
16_8,Dakar,Dakar,Urban,14522649,5,5,2022,8,737.976641423095,3.3128485377564383,16
16_3,Dakar,Dakar,Urban,8506367,5,5,2022,7,737.976641423095,12.26588075076386,16
16_10,Dakar,Dakar,Urban,13097468,5,5,2022,8,737.976641423095,8.815280314273243,16
16_7,Dakar,Dakar,Urban,5061704.5,4,3,2022,6,737.976641423095,1.882562374508948,16
16_1,Dakar,Dakar,Urban,8313610.5,5,5,2022,7,737.976641423095,9.821133828022697,16
16_11,Dakar,Dakar,Urban,7561935.5,5,4,2022,7,737.976641423095,4.1260591881274555,16
16_6,Dakar,Dakar,Urban,11132288,5,5,2022,9,737.976641423095,5.524419030990834,16
16_9,Dakar,Dakar,Urban,8606907,5,5,2022,7,737.976641423095,3.27649236141423,16
16_4,Dakar,Dakar,Urban,10728099,5,5,2022,7,737.976641423095,5.291971017023134,16
16_5,Dakar,Dakar,Urban,4497288,3,3,2022,9,737.976641423095,3.0291320820602357,16
17_5,Dakar,Dakar,Urban,6546872,5,4,2021,12,383.732725099135,2.149254997817547,17
17_8,Dakar,Dakar,Urban,14399017,5,5,2021,12,383.732725099135,6.361237189000437,17
17_12,Dakar,Dakar,Urban,14017974,5,5,2022,1,557.550723345535,13.24108668703623,17
17_13,Dakar,Dakar,Urban,9136491,5,5,2021,12,557.550723345535,8.178560628546487,17
17_6,Dakar,Dakar,Urban,15197895,5,5,2022,1,383.732725099135,16.002584373635965,17
17_7,Dakar,Dakar,Urban,21911180,5,5,2021,12,383.732725099135,8.81062034046268,17
17_15,Dakar,Dakar,Urban,2797162.25,2,1,2022,1,557.550723345535,3.4168237450894807,17
17_1,Dakar,Dakar,Urban,21780262,5,5,2021,12,383.732725099135,7.9897375818419905,17
17_10,Dakar,Dakar,Urban,5629137,4,4,2021,12,383.732725099135,1.882562374508948,17
17_14,Dakar,Dakar,Urban,18980814,5,5,2022,1,557.550723345535,7.916276560453951,17
17_2,Dakar,Dakar,Urban,14384386,5,5,2021,12,383.732725099135,7.978481711043212,17
17_4,Dakar,Dakar,Urban,15934754,5,5,2022,1,383.732725099135,7.417515495416849,17
18_4,Dakar,Dakar,Urban,7448087,5,4,2022,8,1236.15333433681,4.30189855958097,18
18_7,Dakar,Dakar,Urban,5372162,4,4,2022,6,413.520104024509,10.720293670886075,18
18_6,Dakar,Dakar,Urban,4450846,3,3,2022,6,413.520104024509,4.7096209515495415,18
18_12,Dakar,Dakar,Urban,4428038.5,3,3,2022,6,413.520104024509,4.626339240506329,18
18_1,Dakar,Dakar,Urban,2852636.25,2,2,2022,9,413.520104024509,3.0840904408555216,18
18_2,Dakar,Dakar,Urban,6703525,5,4,2022,6,413.520104024509,12.153752946311654,18
18_9,Dakar,Dakar,Urban,5862924,4,4,2022,7,413.520104024509,4.781973985159319,18
18_5,Dakar,Dakar,Urban,3971011.5,3,2,2022,9,413.520104024509,4.440814316892187,18
18_8,Dakar,Dakar,Urban,8526313,5,5,2022,8,413.520104024509,5.735357485814055,18
18_11,Dakar,Dakar,Urban,3532046,3,2,2022,6,413.520104024509,7.354389175032737,18
18_3,Dakar,Dakar,Urban,2280645.25,1,1,2022,6,1236.15333433681,2.52721326931471,18
18_10,Dakar,Dakar,Urban,5773566.5,4,4,2022,6,413.520104024509,8.337777738978613,18
19_15,Dakar,Dakar,Urban,5751622,4,4,2021,12,639.443226016745,3.071083020515059,19
19_14,Dakar,Dakar,Urban,4761137,4,3,2021,12,639.443226016745,3.8515519860323004,19
19_1,Dakar,Dakar,Urban,15050226,5,5,2021,12,508.177946019141,6.209734788302052,19
19_12,Dakar,Dakar,Urban,2913021.25,2,2,2021,12,508.177946019141,3.7279116542994326,19
19_17,Dakar,Dakar,Urban,2891378.75,2,2,2021,12,639.443226016745,3.0840904408555216,19
19_16,Dakar,Dakar,Urban,6018023,4,4,2021,12,639.443226016745,4.084002444347447,19
19_2,Dakar,Dakar,Urban,8841038,5,5,2021,12,508.177946019141,5.055369358358796,19
19_10,Dakar,Dakar,Urban,12030609,5,5,2018,1,508.177946019141,12.560877869925797,19
19_13,Dakar,Dakar,Urban,4997649,4,3,2021,12,639.443226016745,5.637161065037102,19
19_4,Dakar,Dakar,Urban,3974338.25,3,2,2021,12,508.177946019141,2.992775905718027,19
19_7,Dakar,Dakar,Urban,3033997.5,2,2,2021,12,639.443226016745,2.52721326931471,19
19_8,Dakar,Dakar,Urban,3394388.25,3,2,2021,12,508.177946019141,2.782149978175469,19
20_7,Dakar,Dakar,Urban,8589341,5,5,2022,8,467.976029938577,3.9784803142732432,20
20_8,Dakar,Dakar,Urban,4094517.75,3,3,2022,7,467.976029938577,1.2435848101265823,20
20_1,Dakar,Dakar,Urban,5751374,4,4,2022,7,467.976029938577,7.235577127891751,20
20_13,Dakar,Dakar,Urban,12200207,5,5,2022,6,1074.08982695098,6.405912178088171,20
20_4,Dakar,Dakar,Urban,8344841,5,5,2022,6,467.976029938577,5.549083544303797,20
20_14,Dakar,Dakar,Urban,2244376.75,1,1,2022,6,1074.08982695098,1.2435848101265823,20
20_10,Dakar,Dakar,Urban,4556476.5,4,3,2022,9,467.976029938577,1.2435848101265823,20
20_9,Dakar,Dakar,Urban,6977976,5,4,2022,7,467.976029938577,7.433207158446094,20
20_11,Dakar,Dakar,Urban,15624997,5,5,2022,9,467.976029938577,3.786491837625491,20
20_6,Dakar,Dakar,Urban,16175557,5,5,2022,9,467.976029938577,7.044829332169359,20
20_3,Dakar,Dakar,Urban,4771423.5,4,3,2022,7,467.976029938577,3.1661908336970757,20
20_12,Dakar,Dakar,Urban,8176536.5,5,5,2022,6,467.976029938577,3.595391008293322,20
21_14,Dakar,Dakar,Urban,9158562,5,5,2022,1,791.582652285176,9.447527542557836,21
21_17,Dakar,Dakar,Urban,4335941.5,3,3,2021,12,791.582652285176,2.7389143605412483,21
21_8,Dakar,Dakar,Urban,9417240,5,5,2022,1,780.38200022292,5.519221300742034,21
21_16,Dakar,Dakar,Urban,7761020,5,5,2022,1,791.582652285176,9.744111043212571,21
21_6,Dakar,Dakar,Urban,11366210,5,5,2022,1,780.38200022292,4.169772501091226,21
21_15,Dakar,Dakar,Urban,10733770,5,5,2022,1,791.582652285176,6.407899083369708,21
21_7,Dakar,Dakar,Urban,7955081.5,5,5,2022,1,780.38200022292,1.4512670449585334,21
21_18,Dakar,Dakar,Urban,7438777,5,4,2022,1,791.582652285176,1.882562374508948,21
21_13,Dakar,Dakar,Urban,9509095,5,5,2022,1,791.582652285176,0.8896104757747708,21
21_10,Dakar,Dakar,Urban,5267940,4,3,2022,1,780.38200022292,3.371412309035356,21
21_11,Dakar,Dakar,Urban,4986112.5,4,3,2021,12,780.38200022292,5.560777651680489,21
21_2,Dakar,Dakar,Urban,24649654,5,5,2022,1,791.582652285176,7.61916298559581,21
22_5,Dakar,Dakar,Urban,9322484,5,5,2022,8,545.776484290401,3.27649236141423,22
22_14,Dakar,Dakar,Urban,2379207.5,2,1,2022,7,1391.46247172841,1.2435848101265823,22
22_12,Dakar,Dakar,Urban,1501754.125,1,1,2022,7,545.776484290401,1.0362681798341336,22
22_6,Dakar,Dakar,Urban,9363490,5,5,2022,6,545.776484290401,3.1261471846355304,22
22_9,Dakar,Dakar,Urban,4310685,3,3,2022,6,545.776484290401,7.458351113051069,22
22_7,Dakar,Dakar,Urban,7157546,5,4,2022,8,545.776484290401,3.4700361414229595,22
22_1,Dakar,Dakar,Urban,5073055,4,3,2022,6,545.776484290401,10.055422435617634,22
22_11,Dakar,Dakar,Urban,9073297,5,5,2022,6,545.776484290401,5.622232387603667,22
22_2,Dakar,Dakar,Urban,4408813,3,3,2022,6,545.776484290401,5.338910519423832,22
22_8,Dakar,Dakar,Urban,5064775,4,3,2022,6,545.776484290401,6.317723963334789,22
22_13,Dakar,Dakar,Urban,2008871,1,1,2022,6,1391.46247172841,2.2260378873854214,22
22_10,Dakar,Dakar,Urban,4608272,4,3,2022,6,545.776484290401,7.529334613705806,22
23_4,Dakar,Dakar,Urban,13982011,5,5,2021,12,660.947900492806,4.404075076385858,23
23_3,Dakar,Dakar,Urban,16168715,5,5,2021,12,660.947900492806,8.909162810999563,23
23_14,Dakar,Dakar,Urban,7317222.5,5,4,2021,12,821.947014312894,0.9929518987341772,23
23_15,Dakar,Dakar,Urban,14873991,5,5,2022,1,821.947014312894,6.3629615015277174,23
23_9,Dakar,Dakar,Urban,7694994.5,5,5,2021,12,660.947900492806,6.689628633784373,23
23_16,Dakar,Dakar,Urban,11678614,5,5,2021,12,821.947014312894,3.1694634657354865,23
23_13,Dakar,Dakar,Urban,10926421,5,5,2022,1,821.947014312894,5.464267830641641,23
23_17,Dakar,Dakar,Urban,14547315,5,5,2021,12,821.947014312894,4.596476996944566,23
23_11,Dakar,Dakar,Urban,10288854,5,5,2022,1,660.947900492806,1.882562374508948,23
23_7,Dakar,Dakar,Urban,4995656.5,4,3,2021,12,660.947900492806,5.05442653862942,23
23_8,Dakar,Dakar,Urban,14585507,5,5,2021,12,660.947900492806,1.6316445220427762,23
23_1,Dakar,Dakar,Urban,12314311,5,5,2021,12,660.947900492806,7.703581667394151,23
24_14,Dakar,Dakar,Urban,3204234.25,2,2,2022,8,617.435939600429,2.8148867743343517,24
24_3,Dakar,Dakar,Urban,6703943.5,5,4,2022,6,617.435939600429,4.070995024006984,24
24_12,Dakar,Dakar,Urban,2499983,2,1,2022,6,514.097389733761,5.924882409428197,24
24_5,Dakar,Dakar,Urban,2694327.75,2,1,2022,6,514.097389733761,1.2435848101265823,24
24_9,Dakar,Dakar,Urban,4803765.5,4,3,2022,6,514.097389733761,7.898144041903099,24
24_6,Dakar,Dakar,Urban,5774958,4,4,2022,6,514.097389733761,9.806309559144479,24
24_4,Dakar,Dakar,Urban,6296280,4,4,2022,8,514.097389733761,4.860783937145351,24
24_13,Dakar,Dakar,Urban,2996080.5,2,2,2022,8,617.435939600429,4.808814316892187,24
24_16,Dakar,Dakar,Urban,2468238,2,1,2022,6,617.435939600429,1.2435848101265823,24
24_15,Dakar,Dakar,Urban,18208462,5,5,2022,6,617.435939600429,11.543445133129637,24
24_8,Dakar,Dakar,Urban,4733576,4,3,2022,8,514.097389733761,5.013985508511567,24
24_2,Dakar,Dakar,Urban,8519750,5,5,2022,9,514.097389733761,11.328188913138368,24
25_15,Dakar,Dakar,Urban,2842571.5,2,2,2021,12,620.833156132704,2.7385009166302927,25
25_13,Dakar,Dakar,Urban,2952919.25,2,2,2021,12,620.833156132704,3.4403540811872544,25
25_11,Dakar,Dakar,Urban,4615897,4,3,2021,12,422.670056411105,7.197601047577477,25
25_7,Dakar,Dakar,Urban,3449085.75,3,2,2021,12,422.670056411105,5.947056132693147,25
25_5,Dakar,Dakar,Urban,1780953.375,1,1,2021,12,422.670056411105,3.349587778262767,25
25_14,Dakar,Dakar,Urban,3358971.25,3,2,2021,11,620.833156132704,5.873214491488433,25
25_2,Dakar,Dakar,Urban,4618454.5,4,3,2021,11,422.670056411105,10.100997642950677,25
25_3,Dakar,Dakar,Urban,2765426.25,2,1,2021,12,422.670056411105,4.382647577477084,25
25_9,Dakar,Dakar,Urban,2565828.5,2,1,2022,1,620.833156132704,2.946247402880838,25
25_12,Dakar,Dakar,Urban,9859386,5,5,2021,12,422.670056411105,9.59139973810563,25
25_6,Dakar,Dakar,Urban,4604709,4,3,2021,12,422.670056411105,8.126274639895243,25
25_10,Dakar,Dakar,Urban,3101761.5,2,2,2021,12,422.670056411105,3.560208817110432,25
